id,title,genres,averageRating,releaseYear
tt0203082,Rurouni Kenshin: Trust and Betrayal,"Action, Adventure, Animation",8.6,1999
tt0403778,Long Way Round,"Adventure, Documentary",8.6,2004
tt17513352,Twenty Five Twenty One,"Drama, Romance",8.6,2022
tt15614372,Tear Along the Dotted Line,"Animation, Comedy, Drama",8.6,2021
tt6385540,Hilda,"Adventure, Animation, Drama",8.6,2018
tt0120570,From the Earth to the Moon,"Action, Drama, History",8.6,1998
tt1877368,The Great British Baking Show,"Game-Show, Reality-TV",8.6,2010
tt0086831,"Yes, Prime Minister",Comedy,8.6,1986
tt13634792,Mouse,"Action, Crime, Mystery",8.6,2021
tt5320412,Moon Lovers: Scarlet Heart Ryeo,"Action, Drama, Fantasy",8.6,2016
tt0118273,Brass Eye,Comedy,8.6,1997
tt13400006,Mr. Queen,"Comedy, Fantasy, Romance",8.6,2020
tt9103932,Greatest Events of WWII in Colour,"Documentary, History, War",8.6,2019
tt8254348,ImMATURE,"Comedy, Drama, Romance",8.6,2019
tt31862849,Very Parivarik,Comedy,8.6,2024
tt4580372,Merlí,"Comedy, Drama, Romance",8.6,2015
tt0426719,Hunter x Hunter,"Action, Adventure, Animation",8.6,1999
tt9304350,Fruits Basket,"Animation, Comedy, Drama",8.6,2019
tt2306299,Vikings,"Action, Adventure, Drama",8.5,2013
tt10048342,The Queen's Gambit,Drama,8.5,2020
tt0475784,Westworld,"Drama, Mystery, Sci-Fi",8.5,2016
tt1442437,Modern Family,"Comedy, Drama, Romance",8.5,2009
tt4158110,Mr. Robot,"Crime, Drama, Thriller",8.5,2015
tt5071412,Ozark,"Crime, Drama, Thriller",8.5,2017
tt6763664,The Haunting of Hill House,"Drama, Horror, Mystery",8.5,2018
tt1439629,Community,Comedy,8.5,2009
tt1586680,Shameless,"Comedy, Drama",8.5,2011
tt2243973,Hannibal,"Crime, Drama, Horror",8.5,2013
tt0149460,Futurama,"Adventure, Animation, Comedy",8.5,1999
tt1442449,Spartacus,"Action, Adventure, Biography",8.5,2010
tt0436992,Doctor Who,"Adventure, Drama, Sci-Fi",8.5,2005
tt1839578,Person of Interest,"Action, Crime, Drama",8.5,2011
tt3230854,The Expanse,"Drama, Mystery, Sci-Fi",8.5,2015
tt4179452,The Last Kingdom,"Action, Drama, History",8.5,2015
tt2575988,Silicon Valley,Comedy,8.5,2014
tt0487831,The IT Crowd,Comedy,8.5,2006
tt3526078,Schitt's Creek,Comedy,8.5,2015
